school_year,dpi_true_id,lat,long,school_name,accurate_agency_type,grade_band,school_enrollment,ELA,Mathematics,dpi_rating,dpi_score,sch_ach,sch_growth,per_ed,per_swd,per_lep,per_b_aa,per_hisp_lat,address,phone_number,website_url,email,milwaukee_indicator,overall_score,overall_rating,rc_link,growth_rating
2024-25,3619_0143,43.072987991885,-88.013112977153,Eighty-First Street Elementary,Traditional Public School,K-5,357,0.047,0.055,Fails to Meet Expectations,39.7,17.1,40.3,0.818,0.311,0.017,0.776,0.048,"2964 N 81st St, Milwaukee, WI 53222",414-874-5400,www.milwaukee.k12.wi.us,143@milwaukee.k12.wi.us,1,35,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Eighty-First Street Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3290_0400,44.121387011428,-87.63394995948,McKinley Academy,Traditional Public School,K-12,59,0,0.091,Fails to Meet Expectations,35.4,29,NA,0.695,0.203,0.017,0.085,0.169,"1002 E Cedar Ave, Manitowoc, WI 54220",920-686-4700,https://mckinley.manitowocpublicschools.org,bonchers@mpsd.school,NA,35.4,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Manitowoc/McKinley Academy School Report Card 2024-25.pdf,No Growth Rating
2024-25,3434_0040,44.874096298443,-88.628671491996,Menominee Indian High,Traditional Public School,9-12,364,0.024,0.008,Fails to Meet Expectations,35.5,23.6,NA,0.893,0.217,0,0,0.069,"N500 STH 47-55, Keshena, WI 54135",715-799-3846,www.misd.k12.wi.us,craasch@misd.k12.wi.us,0,35.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Menominee Indian/Menominee Indian High School Report Card 2024-25.pdf,No Growth Rating
2024-25,3619_0154,43.125848003256,-87.955277007052,Thurston Woods Elementary,Traditional Public School,K-8,256,0.051,0,Fails to Meet Expectations,43.9,13.4,51.8,0.926,0.219,0,0.887,0.082,"5966 N 35th St, Milwaukee, WI 53209",414-393-2800,www.milwaukee.k12.wi.us,154@milwaukee.k12.wi.us,1,36.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Thurston Woods Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,0413_0260,42.532641018058,-89.015767969664,Robinson Elementary,Traditional Public School,K-5,477,0.148,0.143,Fails to Meet Expectations,35.5,32.7,25.2,0.698,0.155,0.235,0.182,0.417,"1801 Cranston Rd, Beloit, WI 53511",608-361-2805,www.sdb.k12.wi.us/robinson,cthibodeaux@sdb.k12.wi.us,0,37,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Beloit/Robinson Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0110,43.066498009985,-87.949441023147,Clarke Street Elementary,Traditional Public School,K-8,167,0.047,0.012,Fails to Meet Expectations,46.3,14.1,60.3,0.946,0.162,0.018,0.922,0.066,"2816 W Clarke St, Milwaukee, WI 53210",414-267-1000,www.milwaukee.k12.wi.us,110@milwaukee.k12.wi.us,1,37,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Clarke Street Elementary School Report Card 2024-25.pdf,Below Average Growth
2024-25,3619_0217,43.058609004625,-87.975422995154,Hi-Mount Elementary,Traditional Public School,K-8,166,0.033,0.022,Fails to Meet Expectations,44.8,13.9,51.8,0.934,0.211,0,0.861,0.024,"4921 W Garfield Ave, Milwaukee, WI 53208",414-875-2700,www.milwaukee.k12.wi.us,217@milwaukee.k12.wi.us,1,37.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Hi-Mount Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0178,43.055831996284,-87.910769017372,Carver Academy,Traditional Public School,K-8,324,0.125,0.062,Fails to Meet Expectations,43.4,19.4,48.9,0.944,0.207,0.009,0.926,0.031,"1900 N 1st St, Milwaukee, WI 53212",414-267-0500,www.milwaukee.k12.wi.us,102@milwaukee.k12.wi.us,1,37.4,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Carver Academy School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,0000_1158,43.150383007317,-88.000223034993,Early View Academy of Excellence,Private School,K-12,301,0.041,0.047,Fails to Meet Expectations,45.3,18.2,57.5,1,0.003,0,0.907,0.07,"7132 W Good Hope Rd, Milwaukee, WI 53223",414-793-7416,www.earlyviewacademy.org,aparchia@earlyviewk12.org,1,37.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee Private/Early View Academy of Excellence Choice Students School Report Card 2024-25.pdf,Below Average Growth
2024-25,3619_0307,43.069023016407,-87.902145966842,Riverwest Elementary,Traditional Public School,K-5,244,0.143,0.067,Fails to Meet Expectations,42.9,22,48.9,0.885,0.254,0.008,0.734,0.156,"2765 N Fratney St, Milwaukee, WI 53212",414-267-4400,www.milwaukee.k12.wi.us,307@milwaukee.k12.wi.us,1,37.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Riverwest Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0454,43.142242000039,-87.976753035549,Green Tree Preparatory Academy,Traditional Public School,6-12,535,0.045,0.051,Fails to Meet Expectations,45.7,17.3,57.5,0.856,0.148,0.021,0.864,0.047,"6850 N 53rd St, Milwaukee, WI 53223",414-206-0500,www.milwaukee.k12.wi.us,fisherkf@milwaukee.k12.wi.us,1,37.7,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Green Tree Preparatory Academy School Report Card 2024-25.pdf,Below Average Growth
2024-25,3619_0212,43.143965989884,-87.963776005415,Hawthorne Elementary,Traditional Public School,K-5,259,0.094,0.094,Fails to Meet Expectations,42.1,21.9,43.2,0.969,0.228,0.004,0.857,0.077,"6945 N 41st St, Milwaukee, WI 53209",414-247-7200,www.milwaukee.k12.wi.us,212@milwaukee.k12.wi.us,1,37.8,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Hawthorne Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,0000_1044,43.063796019677,-87.914529977327,Clara Mohammed School,Private School,K-12,39,0.143,0,Fails to Meet Expectations,38.4,29.4,NA,0.615,0,0.026,0.949,0,"317 W Wright St, Milwaukee, WI 53212",414-263-6772,www.cmsmkewi.us,mahdi@cmsmkewi.us,1,38.4,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee Private/Clara Mohammed School All Students School Report Card 2024-25.pdf,No Growth Rating
2024-25,3619_0077,43.076595018188,-87.941645015004,Auer Avenue Elementary,Traditional Public School,K-5,151,0.077,0.038,Meets Few Expectations,52.4,11.5,58.4,0.914,0.185,0,0.934,0.026,"2319 W Auer Ave, Milwaukee, WI 53206",414-875-4500,www.milwaukee.k12.wi.us,077@milwaukee.k12.wi.us,1,38.4,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Auer Avenue Elementary School Report Card 2024-25.pdf,Below Average Growth
2024-25,3619_0092,43.117676988765,-87.990467002611,Browning Elementary,Traditional Public School,K-5,279,0.116,0.045,Fails to Meet Expectations,45.8,18.7,54.6,0.907,0.319,0.007,0.903,0.065,"5440 N 64th St, Milwaukee, WI 53218",414-393-5200,www.milwaukee.k12.wi.us,092@milwaukee.k12.wi.us,1,38.6,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Browning Elementary School Report Card 2024-25.pdf,Below Average Growth
2024-25,3619_0170,43.083669009192,-87.978873992329,Fifty-Third Street Elementary,Traditional Public School,K-8,308,0.076,0.032,Fails to Meet Expectations,45.7,17.1,52.7,0.893,0.218,0.006,0.847,0.091,"3618 N 53rd St, Milwaukee, WI 53216",414-874-5300,www.milwaukee.k12.wi.us,170@milwaukee.k12.wi.us,1,38.6,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Fifty-Third Street Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0274,43.01180998935,-87.941859004992,Mitchell Elementary,Traditional Public School,K-8,597,0.064,0.078,Fails to Meet Expectations,44,20,47,0.943,0.209,0.546,0.124,0.802,"1728 S 23rd St, Milwaukee, WI 53204",414-902-8100,www.milwaukee.k12.wi.us,274@milwaukee.k12.wi.us,1,38.6,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Mitchell Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0253,43.07074801208,-87.931974980948,Hopkins Lloyd Community School,Traditional Public School,K-5,143,0.038,0,Meets Few Expectations,53.7,12.6,62.2,0.979,0.189,0,0.916,0.049,"1503 W Hopkins St, Milwaukee, WI 53206",414-267-0600,www.milwaukee.k12.wi.us,220@milwaukee.k12.wi.us,1,38.9,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Hopkins Lloyd Community School School Report Card 2024-25.pdf,Below Average Growth
2024-25,3434_0020,44.874096298443,-88.628671491996,Keshena Primary,Traditional Public School,K-5,394,0.069,0.059,Fails to Meet Expectations,43.4,23.2,45.1,0.906,0.208,0,0,0.066,"N530 STH 47-55, Keshena, WI 54135",715-799-3828,www.misd.k12.wi.us,nstrebel@misd.k12.wi.us,0,39,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Menominee Indian/Keshena Primary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0041,42.984210980583,-87.962318979186,Audubon Technology and Communication Middle,Traditional Public School,6-8,345,0.126,0.027,Fails to Meet Expectations,44.4,22,48,0.838,0.206,0.325,0.267,0.577,"3300 S 39th St, Milwaukee, WI 53215",414-902-7800,www.milwaukee.k12.wi.us,041@milwaukee.k12.wi.us,1,39.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Audubon Technology and Communication Middle School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0215,43.083887986412,-87.932802023335,Andrew S Douglas Middle,Traditional Public School,6-8,106,0.058,0.012,Fails to Meet Expectations,48.9,14.1,62.2,0.887,0.236,0,0.934,0.028,"3620 N 18th St, Milwaukee, WI 53206",414-256-8200,www.milwaukee.k12.wi.us,palmerzq@milwaukee.k12.wi.us,1,39.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Andrew S Douglas Middle School Report Card 2024-25.pdf,Below Average Growth
2024-25,3619_0319,43.072289988898,-87.977988025163,Sherman Elementary,Traditional Public School,K-8,147,0.071,0.012,Fails to Meet Expectations,47.6,14.3,56.5,0.905,0.224,0,0.905,0.034,"5110 W Locust St, Milwaukee, WI 53210",414-874-5800,www.milwaukee.k12.wi.us,319@milwaukee.k12.wi.us,1,39.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Sherman Elementary School Report Card 2024-25.pdf,Below Average Growth
2024-25,0413_0120,42.502427987057,-89.046309026445,Hackett Elementary,Traditional Public School,K-5,434,0.13,0.113,Fails to Meet Expectations,40,28.6,31.8,0.742,0.217,0.263,0.214,0.431,"625 Eighth St, Beloit, WI 53511",608-361-2405,www.sdb.k12.wi.us/hackett,rmcreynolds@sdb.k12.wi.us,0,39.4,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Beloit/Hackett Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0208,43.077113983723,-87.882123025079,Hartford Avenue Elementary,Traditional Public School,K-8,256,0.082,0.06,Fails to Meet Expectations,46.7,17.5,53.7,0.93,0.184,0.004,0.836,0.051,"2227 E Hartford Ave, Milwaukee, WI 53211",414-906-4700,www.milwaukee.k12.wi.us,208@milwaukee.k12.wi.us,1,39.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Hartford Avenue Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0226,43.139532005014,-88.009689975534,Milwaukee Sign Language Elementary,Traditional Public School,K-8,384,0.085,0.085,Fails to Meet Expectations,48.1,15.8,56.5,0.922,0.185,0.021,0.818,0.057,"7900 W Acacia St, Milwaukee, WI 53223",414-393-3800,www.milwaukee.k12.wi.us,226@milwaukee.k12.wi.us,1,40,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Milwaukee Sign Language Elementary School Report Card 2024-25.pdf,Below Average Growth
2024-25,0147_0080,44.270088008731,-88.406359017085,Columbus Elementary,Traditional Public School,K-5,88,0.118,0.206,Fails to Meet Expectations,35.6,37.3,20.4,0.705,0.17,0.08,0.136,0.205,"913 N Oneida St, Appleton, WI 54911",920-852-5450,www.aasd.k12.wi.us,cannonjoel@aasd.k12.wi.us,0,40.7,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Appleton Area/Columbus Elementary School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,2289_0190,44.493625990345,-87.949211023724,Edison Middle,Traditional Public School,6-8,1121,0.246,0.285,Fails to Meet Expectations,38.5,39.9,28,0.62,0.142,0.347,0.035,0.514,"442 Alpine Dr, Green Bay, WI 54302",920-391-2450,www.gbaps.org,bdwhitfield@gbaps.org,0,40.7,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Green Bay Area Public/Edison Middle School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0032,43.013399994473,-87.930643012715,South Division High,Traditional Public School,9-12,923,0.05,0.055,Fails to Meet Expectations,48.3,19.5,54.6,0.836,0.213,0.57,0.248,0.569,"1515 W Lapham Blvd, Milwaukee, WI 53204",414-902-8300,www.milwaukee.k12.wi.us,032@milwaukee.k12.wi.us,1,40.7,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/South Division High School Report Card 2024-25.pdf,Below Average Growth
2024-25,3269_0410,43.068570980368,-89.439337975084,Capital High,Traditional Public School,9-12,129,0.043,0.043,Meets Few Expectations,54.1,17.8,59.4,0.845,0.364,0.124,0.442,0.209,"3802 Regent St, Madison, WI 53705",608-204-4220,https://capital.madison.k12.wi.us/,capital@madison.k12.wi.us,0,40.8,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Madison Metropolitan/Capital High School Report Card 2024-25.pdf,Below Average Growth
2024-25,3619_0194,43.125779020193,-88.061598012253,River Trail School of Agricultural Science,Traditional Public School,K-8,406,0.085,0.04,Fails to Meet Expectations,48.5,15.8,52.7,0.82,0.236,0.03,0.81,0.062,"12021 W Florist Ave, Milwaukee, WI 53225",414-393-2200,www.milwaukee.k12.wi.us,194@milwaukee.k12.wi.us,1,41.1,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/River Trail School of Agricultural Science School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0419,43.066696996366,-87.92509100769,North Division High,Traditional Public School,9-12,346,0.014,0.01,Meets Few Expectations,54.9,14.8,76.4,0.913,0.24,0.012,0.905,0.04,"1011 W Center St, Milwaukee, WI 53206",414-267-4900,www.milwaukee.k12.wi.us,025@milwaukee.k12.wi.us,1,41.2,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/North Division High School Report Card 2024-25.pdf,Above Average Growth
2024-25,2849_0100,43.800049989391,-91.246938980765,Hamilton Elementary School,Traditional Public School,K-5,151,0.217,0.133,Fails to Meet Expectations,38.8,36.3,27.1,0.801,0.338,0.053,0.232,0.113,"1111 7th St S, La Crosse, WI 54601",608-789-7695,www.lacrosseschools.org,jfernholz@lacrossesd.org,0,41.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/La Crosse/Hamilton Elementary School School Report Card 2024-25.pdf,Well Below Average Growth
2024-25,3619_0235,43.082462015134,-87.931552030114,Keefe Avenue Elementary,Traditional Public School,K-5,125,0.022,0.022,Meets Few Expectations,56.1,14.5,63.2,0.968,0.184,0,0.856,0.072,"1618 W Keefe Ave, Milwaukee, WI 53206",414-267-4800,www.milwaukee.k12.wi.us,235@milwaukee.k12.wi.us,1,41.5,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Keefe Avenue Elementary School Report Card 2024-25.pdf,Average Growth
2024-25,3619_0312,43.057107009486,-87.945740999629,Starms Discovery,Traditional Public School,K-8,268,0.064,0.038,Meets Few Expectations,51,14.9,62.2,0.978,0.243,0,0.903,0.034,"2035 N 25th St, Milwaukee, WI 53205",414-934-4900,www.milwaukee.k12.wi.us,312@milwaukee.k12.wi.us,1,41.6,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Starms Discovery School Report Card 2024-25.pdf,Below Average Growth
2024-25,3619_0211,43.039235995635,-87.983374990515,Hawley Environmental School,Traditional Public School,K-5,299,0.13,0.078,Fails to Meet Expectations,46.7,23.5,48.9,0.846,0.308,0.003,0.729,0.11,"5610 W Wisconsin Ave, Milwaukee, WI 53213",414-256-8500,www.milwaukee.k12.wi.us,211@milwaukee.k12.wi.us,1,41.7,Fails to Meet Expectations,https://cityforwardcollective.github.io/wi_report_cards/report_cards/Milwaukee/Hawley Environmental School School Report Card 2024-25.pdf,Well Below Average Growth
